"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Tofieldia pusilla","NISP","pollen",NA,"Vascular plants","UPHE","Tofieldia pusilla",NA
"Cingutriletes parvicingulus","NISP","spore","anachronic","Vascular plants","ANAC","Cingutriletes parvicingulus",NA
"cf. Mitella nuda","NISP","pollen",NA,"Vascular plants","UPHE","cf. Mitella nuda",NA
"Classopollis","NISP","pollen","anachronic","Vascular plants","ANAC","Classopollis",NA
"Granabivesiculites inchoatus","NISP","pollen","anachronic","Vascular plants","TRSH","Granabivesiculites inchoatus",NA
"Adiantum-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"cf. Osmunda","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Salix nigra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Salix undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Spermatophyta undiff. (trees/shrubs)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Osmunda regalis/O. claytoniana","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Ranunculus flabellaris","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Botrychium virginianum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"cf. Caltha","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cystopteris fragilis","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Brassica-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Humulus/Cannabis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lycopodium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Sarcobatus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Alnus viridis subsp. crispa-type","NISP","pollen",NA,"Vascular plants","TRSH","Alnus viridis subsp. crispa-type",NA
"Brasenia","NISP","pollen",NA,"Vascular plants","AQVP","Brasenia",NA
"Cerealia-type undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Cerealia-type undiff.",NA
"Chamaesyce-type","NISP","pollen",NA,"Vascular plants","UPHE","Chamaesyce-type",NA
"Cirsium-type","NISP","pollen",NA,"Vascular plants","UPHE","Cirsium-type",NA
"Sanicula","NISP","pollen",NA,"Vascular plants","UPHE","Sanicula",NA
"Cannabis-type","NISP","pollen",NA,"Vascular plants","UPHE","Cannabis-type",NA
"Ruppia","NISP","pollen",NA,"Vascular plants","AQVP","Ruppia",NA
"Indeterminable (reticulate)","NISP","pollen/spore",NA,"Unidentified","UNID","Indeterminable (reticulate)",NA
"Euphorbiaceae cf. Chamaesyce","NISP","pollen",NA,"Vascular plants","UPHE","Euphorbiaceae cf. Chamaesyce",NA
"Stachys","NISP","pollen",NA,"Vascular plants","UPHE","Stachys",NA
"Eriocaulon","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Typha (tetrad)","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Persicaria lapathifolia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Polygonum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Amaranthaceae-type","NISP","pollen",NA,"Vascular plants","UPHE","Amaranthaceae-type",NA
"Potamogeton-type","NISP","pollen",NA,"Vascular plants","AQVP","Potamogeton-type",NA
"Salsola kali","NISP","pollen",NA,"Vascular plants","UPHE","Salsola kali",NA
"Lycopodium undiff.","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Myriophyllum alterniflorum","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Mertensia-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Spike","NISP","counted",NA,"Laboratory analyses","LABO",NA,NA
"Plantago lanceolata-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Hypoxis hirsuta","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lysimachia ciliata-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Astragalus-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Stellaria","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Maclura-type","NISP","pollen",NA,"Vascular plants","TRSH","Maclura-type",NA
"Ambrosia/Iva","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Eucalyptus spike","NISP","pollen",NA,"Laboratory analyses","LABO",NA,NA
"Asteraceae subf. Asteroideae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Menyanthes","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Ranunculaceae (tricolpate)","NISP","pollen",NA,"Vascular plants","UPHE","Ranunculaceae (tricolpate)",NA
"Allium-type","NISP","pollen",NA,"Vascular plants","UPHE","Allium-type",NA
"Prosopis cf. P. pubescens","NISP","pollen",NA,"Vascular plants","TRSH","Prosopis cf. P. pubescens",NA
"Valeriana edulis","NISP","pollen",NA,"Vascular plants","UPHE","Valeriana edulis",NA
"Alnus (pentaporate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus (tetraporate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Thuja","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Betulaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Unknown (trilete, scabrate)","NISP","spore",NA,"Unidentified","UNID",NA,NA
"Eriophorum","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"cf. Athyrium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Unknown (monolete, verrucate)","NISP","spore",NA,"Unidentified","UNID",NA,NA
"Asteraceae (lophate, echinate)","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Hippuris","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Lycopodium suspension","grains/g","concentration",NA,"Laboratory analyses","LABO","Lycopodium suspension|concentration|grains/g",NA
"Lycopodium suspension","ml","quantity added",NA,"Laboratory analyses","LABO","Lycopodium suspension|quantity added|ml",NA
"Eupatorium","NISP","pollen",NA,"Vascular plants","UPHE","Eupatorium",NA
"Elodea","NISP","pollen",NA,"Vascular plants","AQVP","Elodea",NA
"Thelypteris","NISP","spore",NA,"Vascular plants","VACR","Thelypteris",NA
"Abies","NISP","stomate",NA,"Vascular plants","TRSH","Abies|stomate|NISP",NA
"Asplenium-type","NISP","spore",NA,"Vascular plants","VACR","Asplenium-type",NA
"Coniferae undiff.","NISP","stomate",NA,"Vascular plants","TRSH","Coniferae undiff.",NA
"Larix","NISP","stomate",NA,"Vascular plants","TRSH","Larix|stomate|NISP",NA
"Picea glauca","NISP","pollen",NA,"Vascular plants","TRSH","Picea glauca",NA
"Picea mariana","NISP","pollen",NA,"Vascular plants","TRSH","Picea mariana|pollen|NISP",NA
"Picea mariana","NISP","stomate",NA,"Vascular plants","TRSH","Picea mariana|stomate|NISP",NA
"Pinaceae (vesiculate) undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Pinaceae (vesiculate) undiff.",NA
"Pinus","NISP","stomate",NA,"Vascular plants","TRSH","Pinus",NA
"Unknown (pre-Quaternary)","NISP","pollen/spore","anachronic","Unidentified","UNID","Unknown (pre-Quaternary)",NA
"Gymnocarpium-type","NISP","spore",NA,"Vascular plants","VACR","Gymnocarpium-type",NA
"Picea indet.","NISP","pollen",NA,"Vascular plants","TRSH","Picea indet.",NA
"Athyrium-type","NISP","spore",NA,"Vascular plants","VACR","Athyrium-type",NA
"Clethra","NISP","pollen",NA,"Vascular plants","TRSH","Clethra",NA
"cf. Arceuthobium","NISP","pollen",NA,"Vascular plants","TRSH","cf. Arceuthobium",NA
"Picea undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Picea undiff.|pollen|NISP",NA
"Picea undiff.","NISP","stomate",NA,"Vascular plants","TRSH","Picea undiff.|stomate|NISP",NA
"cf. Cyatheaceae","NISP","spore",NA,"Vascular plants","VACR","cf. Cyatheaceae",NA
"Magnolia","NISP","pollen",NA,"Vascular plants","TRSH","Magnolia",NA
"Xyris","NISP","pollen",NA,"Vascular plants","UPHE","Xyris",NA
"cf. Saxifraga oppositifolia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Saxifraga oppositifolia",NA
"Lycopodium obscurum-type","NISP","spore",NA,"Vascular plants","VACR","Lycopodium obscurum-type",NA
"Picea glauca-type","NISP","stomate",NA,"Vascular plants","TRSH","Picea glauca-type",NA
"Rhynchospora-type","NISP","pollen",NA,"Vascular plants","AQVP","Rhynchospora-type",NA
"Ipomoea","NISP","pollen",NA,"Vascular plants","UPHE","Ipomoea",NA
"Oxalis","NISP","pollen",NA,"Vascular plants","UPHE","Oxalis",NA
"Xanthium-type","NISP","pollen",NA,"Vascular plants","UPHE","Xanthium-type",NA
"Rubiaceae (pentacolpate)","NISP","pollen",NA,"Vascular plants","UPHE","Rubiaceae (pentacolpate)",NA
"cf. Selaginella","NISP","spore",NA,"Vascular plants","VACR","cf. Selaginella",NA
"Malvaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Malvaceae undiff.",NA
"cf. Acalypha","NISP","pollen",NA,"Vascular plants","UPHE","cf. Acalypha",NA
"Other plants","NISP","pollen",NA,"Plants undiff.","UNID",NA,NA
"Pinus/Picea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Rhus glabra-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Penthorum sedoides","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Sagina","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Sium-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fabaceae cf. Oxytropis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Mitella-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Chenopodiaceae sensu stricto","NISP","pollen",NA,"Vascular plants","UPHE","Chenopodiaceae sensu stricto",NA
"Alnus viridis subsp. crispa","NISP","pollen",NA,"Vascular plants","TRSH","Alnus viridis subsp. crispa",NA
"Asteraceae","NISP","pollen",NA,"Vascular plants","UPHE","Asteraceae",NA
"Cupressaceae/Taxaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Cupressaceae/Taxaceae undiff.",NA
"Picea/Pinus undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Spike","NISP","pollen",NA,"Laboratory analyses","LABO",NA,NA
"Spike suspension","number/ml","concentration",NA,"Laboratory analyses","LABO",NA,NA
"Spike","number","counted",NA,"Laboratory analyses","LABO",NA,NA
"Spike suspension","grains/ml","concentration",NA,"Laboratory analyses","LABO",NA,NA
"Sample quantity","number","counted",NA,"Laboratory analyses","LABO",NA,NA
"Spike","ml","volume",NA,"Laboratory analyses","LABO",NA,NA
"cf. Urtica","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Plantago cf. P. major","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Populus-type","NISP","pollen",NA,"Vascular plants","SEED",NA,NA
"Unknown","NISP","pollen",NA,"Unidentified","UNID",NA,NA
"cf. Iva annua","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Dennstaedtia","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"cf. Prunus serotina","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Plantago","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Polygonum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Acer cf. A. negundo","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Fraxinus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Betula/Ostrya","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Bistorta vivipara","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Polygonum aviculare","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Castanea","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer (reticulate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer (rugulate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer (striate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Impatiens","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Acer cf. A. spicatum","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Utricularia vulgaris","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Celtis/Maclura-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Ilex-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cornus canadensis-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Primula farinosa-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Myrica-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Ilex/Nemopanthus undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Osmunda regalis-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Mentha","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Unknown/Rare","NISP","pollen/spore",NA,"Plants undiff.","PLNT",NA,NA
"cf. Linum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lycopodium cf. L. clavatum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Lonicera","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Indeterminable","NISP","pollen",NA,"Unidentified","UNID",NA,NA
"Linum cf. L. usitatissimum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Rumex cf. R. britannica","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Rumex cf. R. mexicanus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Veronicastrum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Alnus cf. A. viridis subsp. crispa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Brassica","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Poaceae cf. Zea","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Trifolium cf. T. pratense","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ranunculus trichophyllus-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Pinus subg. Pinus-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus subg. Strobus-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus banksiana/P. resinosa-type","NISP","pollen",NA,"Vascular plants","TRSH","Pinus banksiana/P. resinosa-type",NA
"Caltha palustris","NISP","pollen",NA,"Vascular plants","AQVP","Caltha palustris",NA
"cf. Gentiana","NISP","pollen",NA,"Vascular plants","UPHE","cf. Gentiana",NA
"Indeterminable (triporate)","NISP","pollen/spore",NA,"Unidentified","UNID","Indeterminable (triporate)",NA
"Lemna-type","NISP","pollen",NA,"Vascular plants","AQVP","Lemna-type",NA
"Indeterminable undiff.","NISP","pollen",NA,"Unidentified","UNID","Indeterminable undiff.",NA
"Microspheres","NISP","counted",NA,"Laboratory analyses","LABO","Microspheres",NA
"cf. Medicago","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Polygonum (tricolporate)","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Thalictrum undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Sinapis arvensis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Eudicotyledoneae (tricolporate, small)","NISP","pollen",NA,"Vascular plants","SEED",NA,NA
"Fabaceae tribe Psoraleeae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lathyrus-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Caryophyllaceae cf. Silene","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Sanguisorba-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Diervilla","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Dryopteris fragrans","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"cf. Thalictrum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Thalictrum confine-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Euphorbia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Veronicastrum virginicum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fabaceae cf. tribe Psoraleeae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Onoclea","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Polygonaceae (tricolporate)","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cystopteris bulbifera","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Comptonia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Larix/Pseudotsuga","NISP","pollen",NA,"Vascular plants","TRSH","Larix/Pseudotsuga",NA
"Lonicera-type","NISP","pollen",NA,"Vascular plants","TRSH","Lonicera-type",NA
"Ceratophyllum","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Chenopodium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Menispermaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Planera aquatica","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Mitella","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Tilletia","NISP","spore",NA,"Fungi","FUNG",NA,NA
"Osmundaceae undiff.","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Iris","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Scheuchzeria","NISP","pollen",NA,"Vascular plants","AQVP","Scheuchzeria",NA
"Adiantum pedatum","NISP","spore",NA,"Vascular plants","VACR","Adiantum pedatum",NA
"Prunus-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Ranunculus aquatilis","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Typha angustifolia-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Coniferae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Suaeda","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Asteraceae (high spine)","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Asteraceae (low spine)","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Maclura pomifera","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus (triporate)","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Ulmus americana","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Violaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Bidens","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Potamogeton/Triglochin","NISP","pollen",NA,"Vascular plants","AQVP","Potamogeton/Triglochin",NA
"Lycopodium suspension","grains/ml","concentration",NA,"Laboratory analyses","LABO","Lycopodium suspension|concentration|grains/ml",NA
"Nyssa sylvatica","NISP","pollen",NA,"Vascular plants","TRSH","Nyssa sylvatica",NA
"Helianthus","NISP","pollen",NA,"Vascular plants","UPHE","Helianthus",NA
"Suaeda calceoliformis","NISP","pollen",NA,"Vascular plants","UPHE","Suaeda calceoliformis",NA
"Zizania aquatica","NISP","pollen",NA,"Vascular plants","AQVP","Zizania aquatica",NA
"cf. Botrychium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Rhamnaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Arceuthobium pusillum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Unknown (trilete, psilate)","NISP","spore",NA,"Unidentified","UNID",NA,NA
"cf. Taxus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Polygonum undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Botrychium undiff.","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Hudsonia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Morus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Cupressaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Parnassia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Linaria","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Platanus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Saxifraga oppositifolia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Spergularia-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Chrysosplenium-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Acorus calamus","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"cf. Lysimachia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Charcoal","number","fragment",NA,"Charcoal","CHAR",NA,NA
"Caryophyllaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Rosa","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Veronica","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Toxicodendron radicans","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Rhus glabra","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Scrophularia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Mimulus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Rhus undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Anemone","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Maianthemum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cornus racemosa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Viburnum undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cornus alternifolia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Utricularia","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Caprifoliaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Nymphaeaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Vitaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Myrica/Comptonia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Aster-type","NISP","pollen",NA,"Vascular plants","UPHE","Aster-type",NA
"Trifolium repens","NISP","pollen",NA,"Vascular plants","UPHE","Trifolium repens",NA
"Armeria","NISP","pollen",NA,"Vascular plants","UPHE","Armeria",NA
"Rosa-type","NISP","pollen",NA,"Vascular plants","UPHE","Rosa-type",NA
"Potamogeton natans","NISP","pollen",NA,"Vascular plants","AQVP","Potamogeton natans",NA
"Anthemis-type","NISP","pollen",NA,"Vascular plants","UPHE","Anthemis-type",NA
"Stuckenia cf. S. pectinata","NISP","pollen",NA,"Vascular plants","AQVP","Stuckenia cf. S. pectinata",NA
"Plantago major/P. media","NISP","pollen",NA,"Vascular plants","UPHE","Plantago major/P. media",NA
"Knautia","NISP","pollen",NA,"Vascular plants","UPHE","Knautia",NA
"Huperzia","NISP","spore",NA,"Vascular plants","VACR","Huperzia",NA
"Taraxacum-type","NISP","pollen",NA,"Vascular plants","UPHE","Taraxacum-type",NA
"Moraceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Equisetum-type","NISP","spore",NA,"Vascular plants","VACR","Equisetum-type",NA
"Typhaceae","NISP","pollen",NA,"Vascular plants","AQVP","Typhaceae",NA
"Galium-type","NISP","pollen",NA,"Vascular plants","UPHE","Galium-type",NA
"Muscari","NISP","pollen",NA,"Vascular plants","UPHE","Muscari",NA
"Trapa","NISP","pollen",NA,"Vascular plants","AQVP","Trapa",NA
"Chamaenerion latifolium","NISP","pollen",NA,"Vascular plants","UPHE","Chamaenerion latifolium",NA
"Crataegus","NISP","pollen",NA,"Vascular plants","TRSH","Crataegus",NA
"Hymenophyllaceae","NISP","spore",NA,"Vascular plants","VACR","Hymenophyllaceae",NA
"Stratiotes","NISP","pollen",NA,"Vascular plants","AQVP","Stratiotes",NA
"Primula","NISP","pollen",NA,"Vascular plants","UPHE","Primula",NA
"Trifolium","NISP","pollen",NA,"Vascular plants","UPHE","Trifolium",NA
"Listera","NISP","pollen",NA,"Vascular plants","UPHE","Listera",NA
"Chrysosplenium","NISP","pollen",NA,"Vascular plants","UPHE","Chrysosplenium",NA
"Polystichum","NISP","spore",NA,"Vascular plants","VACR","Polystichum",NA
"Montia","NISP","pollen",NA,"Vascular plants","UPHE","Montia",NA
"Rhinanthus","NISP","pollen",NA,"Vascular plants","UPHE","Rhinanthus",NA
"Myriophyllum sibiricum","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Abies","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Acer","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Alnus","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Amaranthaceae","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,NA
"Artemisia","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,NA
"Asteraceae undiff.","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,NA
"Betula","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Carya","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Corylus","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cyperaceae","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fraxinus","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Juglans","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Leptosporangiatae","NISP digitized","spore",NA,"Vascular plants","VACR",NA,NA
"Ostrya/Carpinus","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Poaceae","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,NA
"Potamogeton","NISP digitized","pollen",NA,"Vascular plants","AQVP",NA,NA
"Quercus","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Salix","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Tilia","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Typha","NISP digitized","pollen",NA,"Vascular plants","AQVP",NA,NA
"Ulmus","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Picea","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Larix","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Nuphar","NISP digitized","pollen",NA,"Vascular plants","AQVP",NA,NA
"Populus","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Elaeagnaceae","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"Shepherdia canadensis","NISP digitized","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Thalictrum","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,NA
"Saxifraga-type","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,NA
"Saxifraga oppositifolia","NISP digitized","pollen",NA,"Vascular plants","UPHE",NA,NA
"Achillea","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Carpinus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Sporormiella","NISP","spore",NA,"Fungi","FUNG",NA,NA
"Lycopus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Taraxacum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Meliola","NISP","spore",NA,"Fungi","FUNG",NA,NA
"Myriophyllum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
