"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Thalictrum venulosum-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Heuchera richardsonii","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Hydrophyllum cf. H. virginianum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Apiaceae cf. Sium suave","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Dracocephalum-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Phacelia cf. P. franklinii","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Hedysarum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Plantago rugelii","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Viburnum opulus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Triantha glutinosa","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Mertensia paniculata","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Elaeagnus commutata","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Ericaceae-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Phlox pilosa-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Plantago major","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Acer negundo-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Medicago sativa","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Mentha-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Verbena","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lycopodium annotinum-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Lycopodium clavatum-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Myrica/Comptonia peregrina","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pollen concentration","grains/ml","microsphere method",NA,"Laboratory analyses","LABO",NA,NA
"Tsuga canadensis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Thalictrum-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Persicaria amphibia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Robinia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Dryas-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cornus canadensis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Cornus rugosa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pediomelum-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cryptogramma","NISP","spore",NA,"Vascular plants","VACR",NA,NA
